# run 1000ns
T=565000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=575000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=585000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=595000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=605000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=615000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                    door_close | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=625000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=635000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                  weight_check | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=645000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=655000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
